alpha,rt_none,rt_uni,rt_tgt,rt_uni_exit,rt_tgt_exit,drop_man,drop_fin,drop_ser,drop_agg,ratio_fin_agg,t_rec_agg,t_rec_kl,lag,minM
-0.017660686568635908,47.28,109.72,17.16,60.96,15.0,6.809661272820604,21.572236740072505,3.6776458597224364,9.58464618957251,2.2507076749000645,17.56,41.76,24.2,1.0
-0.05125056440603182,37.92,62.28,14.8,43.480000000000004,13.6,7.642002334465177,16.567373216302432,3.472464051430393,8.709987864441311,1.9021120894942969,25.04,34.28,9.240000000000002,1.0
-0.024659712106592988,41.4,90.8,15.92,52.28,14.6,3.632862564009276,17.333822506498656,3.1067893335272125,7.25333599863946,2.389772445361698,15.68,36.04,20.36,1.0
-0.04081921000370631,40.44,47.56,18.16,41.28,15.6,4.46211603406483,25.114925894178203,2.517102675676147,8.571681854710246,2.9299881073370964,12.44,40.56,28.120000000000005,1.0
-0.046502510876868165,42.96,54.08,19.240000000000002,44.56,29.72,6.96190087111945,19.747284506799026,3.956744859025273,9.494219962757471,2.0799270065640747,19.68,36.84,17.160000000000004,1.0
-0.03304356687275686,52.04,58.480000000000004,16.52,52.52,14.48,5.073157175839744,19.176193161088243,3.987702351353993,8.423319697652417,2.2765600558213,14.48,53.4,38.92,1.0
-0.045635500526314564,28.04,66.72,13.84,39.56,12.96,8.57477742932201,14.023152180281196,4.3419981800538805,8.686359004088489,1.614387820452826,25.68,26.68,1.0,1.0
-0.04867389075143419,49.96,60.2,16.84,51.120000000000005,14.6,6.394018021625936,18.50831567830344,3.6615786552297176,8.581754238806907,2.1567053965037095,16.96,43.88,26.92,1.0
-0.03368602436384048,44.36,68.44,14.48,49.32,13.32,4.796972049291272,18.735429436944038,5.4564077230868335,8.752858072208946,2.1404927718902,14.96,37.36,22.4,1.0
-0.031642778598686916,28.0,70.88,15.08,39.68,13.92,7.16009215072215,19.94618092822654,4.2147931178950655,9.90986503622517,2.012760098680856,21.8,24.36,2.5599999999999987,1.0
-0.03137372573678501,42.52,65.4,15.84,46.52,14.08,6.4028566110517104,22.140546466222233,1.6979728033952788,8.46547652292527,2.6153928141273144,14.36,40.92,26.560000000000002,1.0
-0.04867297401519684,35.72,57.24,12.8,39.56,12.16,6.912502694205587,16.82227880922249,2.682502806470796,8.2373061470588,2.042206336501045,18.400000000000002,31.080000000000002,12.68,1.0
-0.04955681763436977,47.72,48.84,19.400000000000002,47.36,16.0,4.54798965592846,25.483758114204324,3.4198478486105444,8.632523911943139,2.9520634259636886,13.56,47.72,34.16,1.0
-0.017925693382493824,44.84,115.60000000000001,16.88,62.4,14.56,4.76633677365333,21.529841128601092,2.1546958050138088,8.322047832787218,2.587084520684655,15.72,41.36,25.64,1.0
-0.026532310354527827,36.56,94.32000000000001,14.36,52.72,13.280000000000001,8.347512178622425,15.687510189482692,4.279128760448441,8.955601858562494,1.7516980362948793,22.8,34.6,11.8,1.0
-0.034916010311224904,32.28,74.04,13.4,42.04,12.56,8.608847822290043,12.294361928202017,2.6513432027689987,7.491046697330192,1.641207487410768,22.28,30.36,8.079999999999998,1.0
-0.020557927875148395,43.480000000000004,116.4,13.040000000000001,66.92,12.280000000000001,5.035038128461495,16.21854783459831,3.953192955123678,7.771391762317695,2.0869553782167567,18.12,36.4,18.279999999999998,1.0
-0.02066373985722165,39.2,63.64,16.44,41.72,14.72,3.270531820169177,24.3858535517246,4.6919228117654175,9.038159516248763,2.698099486724462,14.48,39.64,25.16,1.0
-0.037517414746895385,43.160000000000004,55.92,15.44,43.52,14.040000000000001,6.466011566679468,17.508433552916756,6.400062392654604,9.11332365120345,1.921190799649116,19.52,41.36,21.84,1.0
-0.04604745418721825,39.96,62.04,14.280000000000001,43.480000000000004,13.16,5.600121582393542,16.677496645153838,4.804897318065843,8.386537536538187,1.9886033506073129,20.12,36.28,16.16,1.0
-0.01754696212098597,40.64,84.52,15.280000000000001,46.6,13.96,5.581359394791414,24.532109943054365,4.584691303442376,10.46202113004308,2.3448729110866693,18.64,38.800000000000004,20.160000000000004,1.0
-0.03685877473276403,36.32,65.08,14.92,41.6,13.6,10.167163461713661,16.361867141740248,3.665971625198926,9.576331900812345,1.7085735238930364,23.12,34.2,11.080000000000002,1.0
-0.03353747058960907,49.72,68.64,22.8,53.64,33.44,5.433698645776656,18.686654636631594,4.743158136750682,8.979331306923061,2.0810741911509814,16.56,36.96,20.400000000000002,1.0
-0.03351002295139538,44.76,76.56,13.48,49.88,12.56,6.807993684112088,15.243748947049887,3.3061202962665703,7.913096693498729,1.926394878957299,18.44,41.36,22.919999999999998,1.0
-0.019916138305762582,46.12,69.36,20.48,48.72,38.68,4.29902109467231,24.930805729139557,2.685144098199975,8.68623421893321,2.870151218671767,13.16,46.84,33.68000000000001,1.0
-0.03725261917936243,41.480000000000004,50.52,16.88,42.12,14.88,4.922547909208014,23.009395489290398,5.117838213964738,9.489491778406423,2.4247236866413493,15.48,41.4,25.919999999999998,1.0
-0.03998046988796693,46.88,64.56,14.0,49.480000000000004,12.88,5.885976518671868,18.146749733305885,4.1233351967771865,8.417533449905958,2.1558274572117826,17.36,43.68,26.32,1.0
-0.019141979508542087,48.92,110.52,12.92,63.24,12.200000000000001,6.4488231053574,15.260748915758143,3.30227188417742,7.584699364225686,2.0120440089870453,15.16,44.32,29.16,1.0
-0.04655363563367797,29.44,60.68,15.36,35.08,14.08,9.512019063020308,13.622810412690193,6.258734246518512,9.59334097100385,1.4200277519443467,42.68,28.04,-14.64,1.0
-0.03293593889762071,38.68,68.92,13.76,43.96,12.8,5.5708834130163,19.27049610854185,2.299780808615838,8.024157512548074,2.401560048940577,14.32,37.160000000000004,22.840000000000003,1.0
-0.03600696754178134,48.44,59.24,15.8,49.56,13.92,6.496010505478113,22.606569870777996,4.136692202675718,9.807395555301975,2.305053338911844,17.64,47.6,29.96,1.0
-0.042105567259837835,44.12,48.52,19.92,44.36,33.92,3.778549849427547,28.207583069216685,2.6591414814793284,8.92654491076316,3.159966521336319,13.72,46.160000000000004,32.440000000000005,1.0
-0.04613990631516014,46.32,62.84,12.6,49.04,11.96,5.195988191126461,16.365695276545473,4.295378201593216,7.83436583360494,2.0889623517893456,14.16,42.96,28.8,1.0
-0.0456802781840214,45.96,49.2,21.52,46.08,39.08,4.13152258325175,30.34319108454977,4.574703373326277,10.392527623809638,2.91971233398817,15.4,44.76,29.36,1.0
-0.03721009466955749,47.52,54.120000000000005,18.68,48.24,15.72,5.9086598981066905,28.573614187603336,3.122025892488066,10.695988862067619,2.6714326796783734,18.2,42.28,24.080000000000002,1.0
-0.036268331880897245,34.12,74.52,12.24,43.800000000000004,11.72,5.109487629230891,13.620333447859942,4.177295187290208,7.156894615503549,1.9031066097235854,18.16,29.0,10.84,1.0
-0.04308664979028197,48.64,52.4,15.24,48.64,13.56,5.0658665895388415,20.626544526509903,3.2247514925132967,8.214355548133174,2.5110362469271945,15.24,49.4,34.16,1.0
-0.03988937788758941,37.12,72.08,14.280000000000001,44.08,13.200000000000001,5.189884079617611,16.825311610365233,5.762293863440616,8.474243066716152,1.9854648347826065,16.48,31.44,14.96,1.0
-0.024063904964761497,48.4,87.32000000000001,17.04,55.120000000000005,14.6,4.849579554000145,18.171545234016627,5.932896928908491,8.760693793840515,2.0742130317113365,18.240000000000002,40.76,22.519999999999996,1.0
-0.040910348649469075,40.64,52.32,14.48,41.96,13.36,4.463530570705248,21.300490740881067,3.8093398675052965,8.78393113141608,2.4249382676395324,16.12,36.76,20.639999999999997,1.0
-0.02089106157146246,48.800000000000004,92.24,18.240000000000002,55.6,15.52,6.33853613126268,21.42175750766473,4.7708276536089524,9.68769156746285,2.211234467828435,16.080000000000002,44.52,28.44,1.0
-0.05213249621814246,37.72,58.800000000000004,13.76,40.52,12.8,7.092562401474847,18.897529171616405,2.972633220977071,8.94325595381125,2.1130480072599345,17.04,36.0,18.96,1.0
-0.028990673813845624,34.92,68.60000000000001,14.44,40.4,13.32,6.751031691457207,20.66279814334326,3.5320848180274096,9.530662542459163,2.1680337595933503,19.8,33.6,13.8,1.0
-0.013813759586082303,27.8,120.0,13.48,109.36,12.72,6.744605996749213,12.626805506605265,6.0955873542914905,8.119537861498284,1.5551138158342503,25.76,26.28,0.5199999999999996,1.0
-0.04159169971664565,39.84,63.56,13.32,44.800000000000004,12.56,5.3813957308089195,19.682435424734322,3.0025406385517783,8.57851426515498,2.2943874447679473,17.16,33.04,15.879999999999999,1.0
-0.019834372398574832,41.160000000000004,106.56,15.120000000000001,58.120000000000005,13.72,7.463177416612103,16.081220738626705,5.780091884840507,9.157944849086874,1.7559857592099541,22.8,37.44,14.639999999999997,1.0
-0.01669561085309845,39.32,120.0,16.16,70.0,14.4,7.224149430915208,14.223661200840601,7.207999503345046,9.174428572169344,1.550359359054592,24.88,31.36,6.48,1.0
-0.027127572380401914,40.24,74.88,15.0,47.2,13.68,5.237407246637878,20.756646598592724,2.8980071365963647,8.54075902528102,2.430304676335223,14.84,34.28,19.44,1.0
-0.026151207509370278,34.56,94.28,15.200000000000001,55.76,13.96,8.21503020423925,14.252987589814452,7.9838265258729875,9.798990781532558,1.454536279049881,27.04,29.36,2.3200000000000003,1.0
-0.00925590740572053,48.120000000000005,120.0,16.4,89.0,14.6,6.351543404301754,23.159851983433526,5.190480646627691,10.363740214408102,2.234700166570727,21.76,41.44,19.679999999999996,1.0
-0.03842613475828931,35.72,63.52,12.4,39.4,11.84,6.280162884209238,14.69989592074471,3.0215448900871067,7.370972920683526,1.994295200772703,16.76,34.84,18.080000000000002,1.0
